Total floor area,Window fraction,Annual Average temperature,Occupancy level,Total heating and cooling energy use - GJ,,,
2500.00,0.14,57.10,2.38,345.92,,,
2500.00,0.14,57.10,1.77,346.28,,,
2500.00,0.14,57.10,2.25,346.14,,,
2500.00,0.14,57.10,4.08,345.83,,,
2500.00,0.14,57.10,2.71,345.51,,,
2500.00,0.14,57.10,3.57,345.94,,,
2500.00,0.14,57.10,4.57,346.24,,,
2500.00,0.14,57.10,3.22,345.23,,,
2500.00,0.14,57.10,2.82,346.08,,,
2500.00,0.14,57.10,3.42,345.42,,,
2500.00,0.14,57.10,2.56,345.18,,,
2500.00,0.14,57.10,2.29,345.29,,,
2500.00,0.14,57.10,2.75,346.13,,,
2500.00,0.14,57.10,2.15,346.04,,,
2500.00,0.14,57.10,3.02,345.39,,,
2500.00,0.14,57.10,3.13,345.26,,,
2500.00,0.14,57.10,2.96,345.62,,,
2500.00,0.14,57.10,4.90,345.33,,,
2500.00,0.14,57.10,4.23,345.71,,,
2500.00,0.14,57.10,3.15,345.35,,,
2500.00,0.14,57.10,2.44,345.71,,,
2500.00,0.14,57.10,4.47,345.96,,,
2500.00,0.14,57.10,2.05,345.33,,,
2500.00,0.14,57.10,3.09,345.82,,,
2500.00,0.14,57.10,2.52,345.50,,,
2500.00,0.14,57.10,1.54,345.82,,,
2500.00,0.14,57.10,3.35,345.60,,,
2500.00,0.14,57.10,1.99,345.62,,,
2500.00,0.14,57.10,3.29,346.00,,,
2500.00,0.14,57.10,2.18,345.75,,,
2500.00,0.14,57.10,2.66,345.60,,,
2500.00,0.14,57.10,2.84,345.61,,,
2500.00,0.14,57.10,4.37,346.13,,,
2500.00,0.14,57.10,3.20,345.36,,,
2500.00,0.14,57.10,1.93,344.82,,,
2500.00,0.14,57.10,2.40,345.81,,,
2500.00,0.14,57.10,2.33,345.46,,,
2500.00,0.14,57.10,3.47,346.03,,,
2500.00,0.14,57.10,2.76,345.89,,,
2500.00,0.14,57.10,3.62,345.67,,,
2500.00,0.14,57.10,2.57,345.47,,,
2500.00,0.14,57.10,3.49,346.02,,,
2500.00,0.14,57.10,2.69,345.81,,,
2500.00,0.14,57.10,2.02,345.32,,,
2500.00,0.14,57.10,3.57,345.45,,,
2500.00,0.14,57.10,1.65,345.44,,,
2500.00,0.14,57.10,4.20,345.61,,,
2500.00,0.14,57.10,3.92,345.79,,,
2500.00,0.14,57.10,2.69,346.00,,,
2500.00,0.14,57.10,2.36,345.74,,,
2500.00,0.14,57.10,4.05,345.73,,,
2500.00,0.14,57.10,2.11,346.40,,,
2500.00,0.14,57.10,3.05,346.20,,,
2500.00,0.14,57.10,2.45,345.12,,,
2500.00,0.14,57.10,2.24,345.19,,,
2500.00,0.14,57.10,1.96,345.39,,,
2500.00,0.14,57.10,2.06,345.38,,,
2500.00,0.14,57.10,1.46,345.79,,,
2500.00,0.14,57.10,4.31,345.80,,,
2500.00,0.14,57.10,2.79,346.21,,,
2500.00,0.14,57.10,4.55,346.30,,,
2500.00,0.14,57.10,4.73,345.74,,,
2500.00,0.14,57.10,2.54,345.39,,,
2500.00,0.14,57.10,3.18,345.97,,,
2500.00,0.14,57.10,1.71,346.07,,,
2500.00,0.14,57.10,1.85,345.65,,,
2500.00,0.14,57.10,1.59,345.85,,,
2500.00,0.14,57.10,2.93,345.39,,,
2500.00,0.14,57.10,4.78,345.84,,,
2500.00,0.14,57.10,2.97,345.83,,,
2500.00,0.14,57.10,2.50,346.02,,,
2500.00,0.14,57.10,1.34,345.35,,,
2500.00,0.14,57.10,3.64,345.65,,,
2500.00,0.14,57.10,2.59,346.02,,,
2500.00,0.14,57.10,1.89,346.10,,,
2500.00,0.14,57.10,4.00,345.16,,,
2500.00,0.14,57.10,2.21,345.49,,,
2500.00,0.14,57.10,3.36,345.88,,,
2500.00,0.14,57.10,3.98,345.62,,,
2500.00,0.14,57.10,1.61,345.31,,,
2500.00,0.14,57.10,3.39,346.06,,,
2500.00,0.14,57.10,3.30,345.43,,,
2500.00,0.14,57.10,2.31,345.61,,,
2500.00,0.14,57.10,2.12,345.62,,,
2500.00,0.14,57.10,3.79,346.02,,,
2500.00,0.14,57.10,3.51,345.34,,,
2500.00,0.14,57.10,2.48,346.01,,,
2500.00,0.14,57.10,3.82,345.90,,,
2500.00,0.14,57.10,3.86,345.68,,,
2500.00,0.14,57.10,2.64,345.61,,,
2500.00,0.14,57.10,2.39,345.69,,,
2500.00,0.14,57.10,4.13,345.64,,,
2500.00,0.14,57.10,3.00,345.77,,,
2500.00,0.14,57.10,1.37,345.52,,,
2500.00,0.14,57.10,1.22,345.47,,,
2500.00,0.14,57.10,3.25,346.06,,,
2500.00,0.14,57.10,3.75,345.32,,,
2500.00,0.14,57.10,1.83,345.57,,,
2500.00,0.14,57.10,3.07,345.84,,,
2500.00,0.14,57.10,1.79,345.08,,,
2500.00,0.14,57.10,2.61,345.30,,,
2500.00,0.14,58.45,2.38,477.73,,,
2500.00,0.14,58.45,1.77,477.83,,,
2500.00,0.14,58.45,2.25,478.26,,,
2500.00,0.14,58.45,4.08,477.57,,,
2500.00,0.14,58.45,2.71,477.50,,,
2500.00,0.14,58.45,3.57,477.55,,,
2500.00,0.14,58.45,4.57,478.04,,,
2500.00,0.14,58.45,3.22,477.05,,,
2500.00,0.14,58.45,2.82,478.05,,,
2500.00,0.14,58.45,3.42,477.32,,,
2500.00,0.14,58.45,2.56,476.75,,,
2500.00,0.14,58.45,2.29,477.01,,,
2500.00,0.14,58.45,2.75,478.03,,,
